entreprise,titre,description
Generac Power Systems,Data Science Co-Op,"Company Generac Power Systems  Name Data Science Co-Op  Req # 54638  Location TBD  Employment Type Co Op  Shift 1st  Come join Neurio, a subsidiary of Generac Power Systems, in our mission to accelerate the adoption of renewable energy and create a more intelligent home! Our software intelligently combines intermittent energy sources like solar with residential storage systems in order to build a reliable, environmentally sustainable electricity grid. We are looking for passionate Data Science Co-Op Students to contribute to our technical vision and to design and build our new cloud infrastructure, services, and APIs. What do we do? At Neurio we are building an innovative cloud platform as well as web and mobile applications to support millions of users across multiple product lines and services. We use the latest software technologies in the domains of cloud computing, IoT, machine learning, SaaS, and big data to deliver industry-leading solutions. Our applications help homeowners manage their home's energy consumption, control appliances and renewable energy sources for energy savings, help installers manage large fleets of devices, and much more.  What will you do?  Responsibilities may include: Perform exploratory data analysis on large datasets of electric energy systems  Learn and apply relevant machine learning techniques  Create gorgeous visualizations to tell a data story  Receive data science mentorship  Present results and findings to data science experts as well as non-experts  Document research findings for reproducible results  Contribute to customer-facing data products  What will you be required to have?  Working towards an Undergraduate degree in Statistics, Mathematics, Engineering, Computer Science, or other related discipline Quantitative research experience or related work experience What other skills are beneficial?  Experience with exploratory data analysis  Experience with Python (or similar)  Basic understanding and experience with machine learning and data science  Basic knowledge of data structures and algorithms  Eager and willing to learn attitude  A team player and a good communicator  Self-motivated, passionate, open-minded and approachable  Proven work ethic and utmost integrity What will you learn?  Energy systems  Supervised and unsupervised algorithms  Data extraction, transformation, and load (ETL)  Cloud computing  Time series analysis  Develop ping pong skills Why work at Neurio? We value our co-op students and give them the respect and responsibility of full-time employees. Our co-ops often tell us that they learned more during their time at Neurio than they did in all of their previous co-op terms. We also understand that most co-ops will not have the experience that covers all the areas that we are looking for. Mentorship and professional development are very important to our team, and we will be looking forward to hiring enthusiastic and committed individuals.  “We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status, or any other characteristic protected by law.”"
Loblaw Companies Limited,Data Scientist,"Location: 1 Presidents Choice Circle, Brampton, Ontario, L6Y 5S5 The decision to join a company is a big one. We have opportunities for hard working, energetic and reliable people just like you. Why is this role important? Are you at the top of your game? Bring your expertise and knowledge to Canada’s largest retailer! The Health and Wellness team within the Data Insights and Analytics COE (DI&A) is constantly pushing our AI and Machine Learning capabilities to better understand our pharmacy patients and design new solutions to help with managing healthy lifestyles! By formulating and testing hypotheses, and working in collaboration with key stakeholders, the team leverages our wealth of data and the latest in AI and machine learning tools and techniques to develop new methods of understanding patients’ needs. Put your skills to the test, and join our wonderful team to achieve our goal of encouraging and supporting healthier living for Canadians across the country! The DI&A team is looking to hire a Data Scientist with experience in conducting controlled experiments as well as performing modeling exercises using vast amounts of data. Reporting to the Senior Data Scientist, the incumbent will be responsible for conducting data exploration, advanced analytics and modeling, and hypothesis testing to develop new models and solutions that help to solidify the organization’s position as a leader within Canada’s Health Care space. The successful candidate will have experience with data science techniques as well as with collaborating with multiple stakeholders to scope out requirements of new initiatives. The candidate should have a solid working knowledge of Python programming language, machine learning, SQL, and working within the cloud environment. The candidate is a self-starter who has a passion for using what you know to discover what you don’t know, and is always looking for new challenges to help Canadians lead healthier lifestyles. What you will do: Constantly work in an environment where problems can be framed in different ways – Data Science is always in need of your creativity to use what you have to understand what you don’t’ know! Work directly with huge amounts of data to discover new trends, insights, and solutions Implement feature engineering processes to turn raw data into effective features for modeling exercises Recommend modeling techniques that are best suited for the current challenge Apply various data science techniques to put those features to use Formulate and conduct experiments to test various hypotheses Compare outcomes with expectations to identify recommendations for enhancing modeling performance, which may include redesigning features or applying entirely different techniques Document such processes and outcomes to help maintain a repository of learnings and support knowledge sharing Present findings to the team and participate in brainstorming sessions to identify and prioritize next steps within the R&D process Ideal Experience and/or Capabilities 3-5 years’ of working experience in AI/ML field In-depth knowledge of predictive modeling, machine learning and deep learning techniques Advanced SQL knowledge and experience Python (working with various packages) PySpark experience Strong communications skills to clearly document as well as present findings to various stakeholders Experience with cloud enviroments (e.g. GCP, Azure) would be preferred Research experience in pharmacy or health-related fields would be preferred Masters or PhD degree in an analytics and/or medical field of study would be preferred but not required (please include any publications or papers that you have been involved in, if applicable) What You Can Expect: We are a team of diverse and ambitious analysts who cultivate a friendly and inclusive work environment where you can be yourself. Our employees’ development is at the core of our business, offering endless possibilities for growth, learning and mobility. Let us help grow your skills through one of our many resources including the Loblaw Virtual Learning Centre, where you have access to hundreds of learning tools, or through casual coffee chats with our leaders who were once in your shoes. Other perks of joining Loblaw: Competitive compensation and benefits package Office with incredible amenities including an on-site gym, volleyball court and basketball court (turned ice rink in the winter!) A flexible work environment which values balance Colleague Discount Program Tuition reimbursement program Employee Share Ownership plan Pension Plan If the above sounds like a great fit, then we would love to hear from you! Apply today, and get the process started. If you meet the above requirements, expect a call from one of our recruiters, followed by an in-person interview. Our recruitment process will allow you to meet and interact with colleagues at various levels of our business to give you a great perspective of life at Loblaw.   We thank all candidates for their interest but please note, those candidates who meet the minimum requirements for the position will be contacted. How You’ll Succeed: At Loblaw, we seek great people to continually strengthen our culture. We believe great people model our values, are authentic, build trust and make connections. If that sounds like you, and you are open-minded, responsive to change and up to the challenges provided in a fast-paced retail environment, apply today. In addition, we believe that compliance with laws is about doing the right thing. Upholding the law is part of our Code of Conduct – it reinforces what our customers and stakeholders expect of us. Employment Type: Full time Type of Role: Regular Loblaw recognizes Canada's diversity as a source of national pride and strength. We have made it a priority to reflect our nation’s evolving diversity in the products we sell, the people we hire, and the culture we create in our organization. Accommodation is available upon request for applicants with disabilities in the recruitment and assessment process and when hired. Please Note: If you have Employee Self Service (ESS) on Workday, apply to this job via the Workday application."
Clearbanc,Data Science Co-op,"Application Deadline: June 15, 2020 What your day-to-day will look like: Assisting in conducting reproducible research that improves our business metrics while being constrained by tight deadlines Working with a team of data scientists to help transform complex data into meaningful conclusions in a digestible format Present data using data visualization techniques Use Statistics and Data Science to provide data-driven solutions across the organization Collaborating with cross-functional teams You will thrive if you: Are able to write some SQL code (we don't expect you to be a DBA) Can use the Python package Pandas for ETL (if you prefer) Have exposure to reading data, and conducting basic summary analyses Are familiar with common regression and classification algorithms Have been exposed to things like the concept of statistical significance or variance in the context of making between-group comparisons Are comfortable with using Git  Please note that you have to be currently enrolled in a recognized post-secondary program The Perks: Daily meal plan opt-in (unlimited snacks, beverages, and catered lunches) Located in Downtown, Toronto Monthly Clearbanc Socials Lunch and Learns Friday drinks and demos Kick-ass leadership: Michele Romanow (Dragons’ Den) and Andrew D’Souza (Angel Investor) Unlimited opportunity to see your impact on the company and the lives of our entrepreneurs  We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status or other protected class"
Ingrooves,Data Scientist,"At Ingrooves Music Group, we are committed to powering creativity in today’s dynamic music marketplace by providing the best distribution, marketing, and rights management tools and services to content creators and owners. We develop state-of-the-art, cost-efficient, and scalable technology platforms. Our partners benefit from our experienced, knowledgeable people, unparalleled commitment to customer service, and thoughtful marketing solutions that drive results. We aspire to be the most transparent and solution-driven partner for all of the labels and artists we work with. How we LEAD: This is an execution and delivery-oriented, highly visible role in the Insights & Analytics team with primary responsibility for building, testing, and validating scalable machine learning models that drive business-relevant insight generation. This includes development of project plans, handling of potential issues and risks, collaborating constructively with project team members, providing effective cross-functional communication, and advancing multiple projects at once. The successful candidate will ideally be based in Victoria, BC and their reporting line will be to the Chief Analytics Officer. Although the Insights and Analytics team is primarily based in Victoria, BC, exceptionally strong candidates who wish to work remotely within British Columbia or out of the Ingrooves Los Angeles office are especially encouraged to apply and will be given equal consideration. Success at Ingrooves Business Acumen The successful candidate aligns with the Ingrooves culture by being solution-oriented, collaborative, leveraging best practices, and possessing a passion for both technology and music. Interpersonal/Communication Skills The successful candidate will be open minded with a natural curiosity of the internal and external customer, will be delivery oriented with an understanding of the product development process and will build and foster strong relationships and effective partnerships with cross-functional teams. Executing for Results The successful candidate will demonstrate the ability to generate and translate strategic plans into actions with timely execution and accountability. Leadership/Collaboration The successful candidate establishes and maintains positive working relationships, operates with integrity, influences and supports others, and remains open to ideas. Problem Solving The successful candidate will be tenacious and self-motivated and have a demonstrable record of resolving issues and providing effective solutions. They demonstrate eagerness and an ability to learn quickly and leverage a flexible mindset in response to shifting dynamics, adversity and/or change. How you’ll CREATE: Design, build, and deploy machine learning models at scale Collaborate closely with product teams to provide high-level AI-driven services for music content owners Integrate with external and internal APIs and data sources to augment music consumption data to uncover shifting market trends, new opportunities, operational efficiencies and revenue streams Create data-rich informative visuals and documents to articulate and convey complex concepts to executive leadership team and label partners Contribute to and enable a positive work environment which highly encourages creative input and constructive criticism from all team members Other duties as determined by the Chief Analytics Officer Bring your VIBE: Earned graduate degree (PhD/MS) in a highly quantitative discipline (e.g., machine learning, statistics, computer science, applied mathematics, theoretical physics, physical chemistry, econometrics) 2+ years of corporate experience (at the PhD level) / 4+ years of corporate experience (at the MS level) working in a data scientist or equivalent role Demonstrated experience developing machine learning models (e.g. distributed model training with SparkML, PyTorch, Tensorflow, etc.) to deliver robust predictions and inferences in a production scale environment Strong software development skills, with demonstrated ability to implement inferential and predictive models in a production environment. Expert knowledge of at least one data science programming language (e.g. Python, R, Julia, etc.) and relevant data science and visualization libraries (scikit-learn, pandas, ggplot, etc.) Experience with AWS (i.e., EC2, S3, RDS, Redshift, EMR) or similar cloud computing services Knowledge and experience of writing and tuning SQL Excellent communication and exposition skills with the ability to explain and present complex analyses and machine learning concepts to a broad audience, both technical and non-technical, in English Demonstrated ability to work creatively and deliver within highly collaborative work environments while remaining product focused."
Rolling Wave,Data Scientist,"Rolling Insights is a startup looking provide sports data insights to fantasy league enthusiasts, data lovers and anyone looking to bend the odds in their favour. We are building a solution that will not require users to write code, understand technology or be an excel wizard to find insights from a variety of data sources. Our user centric design will change the way sports enthusiasts interact with sport data available through APIs and their own existing data sets. The Rolling Insights team is part of an incubator within Rolling Wave Consulting. We are leveraging our team's experience in consulting, startups, and product development to build Rolling Insights as a product. As a result, Rolling Insights is a face paced product development team with members working remotely. Be prepared to learn as we use the latest in cloud technology, modern development stack and a best practice development lifecycle. If you are ambitious, and enjoy working in a fun, fast paced environment, please apply for the positions below: Job Description We are looking for a data scientist that will help us discover the information hidden in vast amounts of data, and help us make smarter decisions to deliver even better products. Your primary focus will be in applying data modeling techniques, doing statistical analysis, and building high quality prediction systems integrated with our products. If you have experience or interest in the development of all server-side logic, definition and maintenance of the central database, building the front-end experience and ensuring high performance and responsiveness to requests from the front-end; it would be a real asset. Responsibilities Selecting features, building and optimizing classifiers using machine learning techniques Data modeling using state-of-the-art methods Develop information architecture for our product Extending user and company’s data with third party sources of information Enhancing data collection procedures to include information that is relevant for building analytic systems Connect to sports and fantasy sports data APIs Processing, cleansing, and verifying the integrity of data used for analysis Build scraping techniques for data sources that are not available through API Participate in the architectural design of a data sciences and analytics platform Build and integration of user-facing elements designed by front-end developers with server side logic Participate in the design, build and execution of a user-centric continuous deployment development lifecycle Skills and Qualifications Excellent understanding of machine learning techniques and algorithms, such as k-NN, Naive Bayes, SVM, Decision Forests, etc. Knowledge of common data science toolkits, such as R, Weka, NumPy, MatLab. Excellence in at least one of these is highly desirable Experience with data visualisation tools, such as D3.js, GGplot, etc. Proficiency in using query languages such as SQL, Hive, Pig. Experience with NoSQL databases, such as MongoDB, Cassandra, HBase and Azure Cosmos DB. Experience with Microsoft Azure, Blob Storage, App Services and Azure Functions is an asset Good applied statistics skills, such as distributions, statistical testing, regression, etc. Strong proficiency with JavaScript, and React Knowledge of Node.js and frameworks within the Node ecosystem Data-oriented personality Excellent written and verbal communication skills in English. Post-secondary Degree or some level of post-secondary education Excellent written and verbal communication skills in English. Desire to learn and build highly scalable cloud based software. Smart, ambitious and interested in working, learning and growing in a startup!"
GE Appliances,ASI-Customer Service Rep. (Work From Home),"Job Location USA, Rapid City, SD Job Posting Title ASI-Customer Service Rep. (Work From Home) The Challenge You would be assisting GE Appliance customers at all levels, by receiving inbound calls. You would be answering questions about major appliance deliveries. This position is a work-from-home opportunity with a full time or part-time schedule. The department hours are Monday thru Friday from 6 a.m. until 8 p.m., and rotating Saturday 6 a.m. until 5 p.m. The pay is at $13.00 an hour plus incentives. For the past 30 years, we have developed a culture of celebrating and rewarding our employees. We take pride in providing community outreach. We also offer exciting promotional opportunities and career paths. We offer a comprehensive benefits package, including medical, dental, vision, short-term and long-term disability, life insurance, tuition reimbursement and the ability to earn paid time off. This is a great position for those wanting to make a positive impact to the owner experience. What you will Do WHAT YOU WILL DO: After 3 weeks of training, you will use Windows-based programs and other internal applications to: Assist customers through inbound telephone calls for inquiries on appliance deliveries Provide information on product availability, delivery and order processing. Schedule deliveries and resolve post-delivery issues. Offer alternate resolutions for customer concerns. Support Store Associates, Call Center Associates, and Consumers in all aspects of the delivery process. Create an outstanding quality service experience for the GE Appliance consumer, advocating with multiple internal departments on their behalf for reasonable and satisfactory resolution Other duties as assigned by Leadership. Meet all work schedule demands and obligations with compliance, integrity, and according to values, processes and policies What you need to Succeed Requirements for Work Environment Must be located within Rapid City, SD and surrounding area Dedicated work area that is quiet and spacious enough for ASI provided equipment (i.e. PC, keyboard, mouse, monitors, cords to hook it all up and the ethernet cord) Local internet provider (no satellite or DSL internet connections allowed due to security issues) Wireless Router (capable of handling minimum internet speeds of: 8.0 Mbps Download 1.5 Mbps Upload) Internet speeds that are no lower than the minimum 10 Mbps Download and 5 Mbps Upload (wired connection). WHAT YOU NEED TO SUCCEED: High School Diploma or GED preferred Two+ years sales or service experience desired Passion for customer service and problem solving Exceptional organizational skills; effectively utilize time management, ability to multi-task, and use critical thinking Organized and thorough, with effective time management skills Able to prioritize and plan to rapid satisfactory resolutions. Ability to adapt to change Flexible with ability to take direction from management yet work independent to achieve goals. Excellent written communication skills, Good typing ability, and computer skills - comfort navigating multiple online applications. Good listening and questioning skills, with ability to resolve conflict Excellent sense of ownership with proven follow-through skills. Exceptional negotiation & conflict resolution skills; Able to diffuse difficult situations or irate customers resulting in satisfactory resolution. Proven attendance record showing dependability/accountability to work as scheduled Proven ability to accept constructive feedback and apply coaching Desire to work in a team environment to work towards common goals Ability to remain calm and patient while handling challenging customer concerns GE Appliances is an Equal Opportunity Employer. Employment decisions are made without regard to race, color, religion, national or ethnic origin, sex, sexual orientation, gender identity or expression, age, disability, protected veteran status or other characteristics protected by law."
ZINFI SOFTWARE SYSTEMS,Telemarketer/Appointment Setter,"Telemarketer/Appointment Setter – Salt Lake City, Utah / Pleasanton, California, USA # Telecommute / Work From Home Opportunity Available About ZINFI: ZINFI Technologies Inc. is a leading provider of channel marketing services with headquarters in Silicon Valley, California. ZINFI was established in 2004 and offers a unique work experience at a remarkably fast-growing technology company with a highly experienced management team. Our customers are world-leaders in information technology, and we help them with our state-of-the-art marketing tools, process and people to achieve business results. This is a special opportunity for someone to come into an exciting business and grow their career with ZINFI. Please visit our site at www.zinfi.com for further details. What you will be doing: Dial out from reseller/end-user database (ZINFI in-house data research team) Invite the prospective buyers/partners for a conference call on an OEM product category/partnership program Enter detailed call disposition reports into a CRM system Follow up with ALL the “read opens” and “click-throughs” Set up appointments between interested prospects and the customer Send out Outlook Invite to the interested prospects with a bridge number Follow up with the registered prospects a day before the appointment by e-mail & phone call. Call up an hour before the appointment to achieve maximum attendance. Follow up with the prospects who couldn’t/didn’t attend the appointment and try to reschedule them for future date & time Submit call report, daily basis on number of dial outs / contacts / call backs, etc., to Team Lead Connect the customer to the product expert Desired Skills & Experience: Quick learner and understand enough about our client’s products in order to schedule number of appointments Coachable/Teachable with willingness to learn and apply sales skills and teachings Should be well versed with basic computer and internet processes Good interpersonal skill Strong work ethic, dependable & goal driven Must have high energy and make high number of phone calls Log and track all activities accurately in our calling systems Sales experience preferred Internet/Systems Savvy Some college education and/or equivalent, strongly preferred Demonstrated/proven track record of success MS Office Skills Reports to: Manager Inside Sales Support Compensation: Highly competitive salary, excellent benefits, career growth and a positive work environment"
Sentey,Amazon Customer Support,"Position Objective   Give online support to all our clients, with focus on AMAZON customers (mainly Europe and USA ), clearing doubts, answering inquiries and complaints in a fast, friendly and effective   Responsibilities   Advise customer on inquiries, complaints and comments made by the various online sites, especially AMAZON, answering each in a period not exceeding one hour Providing a service that is highlighted by the warmth of treatment, customer care and fast and effective solutions to emerging situations To know in detail the Sentey products sold through the site AMAZON and stock thereof, to support customers on specific queries Have the ability to search for information on purchase orders from Sentey and technical details of the products compared with nonspecific customer inquiries late optimize response times without the need to cross-examine the client that made the query   Requirements  Students and/or graduates for careers in communication, PR, MKT Minimum Experience 2 years in similar position Advanced - level English (written) and knowledge of idioms of American culture  Competencies  Ability to establish rapport with the client (put in place of another) Solving ability and self-management, with effective results to ensure the Quality of Care Ability to present yourself and the company in a professional manner Ability to satisfy customers with the personal commitment to fulfill your orders, desires and expectations Ability to achieve results, improving and maintaining high levels of performance in the context of the strategies of the Company  If you fulfill the requirements to postulate notice indicating salary expectations"
LINDT & SPRUNGLI,Sales Analyst - Walmart,"Position Purpose: This position is a key contributor to the overall growth, development, and partnership with the Walmart/Sam's Club team. This person is directly responsible for the analysis and reporting of retail sales and syndicated data across the Lindt seasonal and non-seasonal businesses. This responsibility includes weekly sales reporting and insights, presentation collaboration and retail priorities for 3rd party team. This individual is highly motivated, communicates exceptionally well, and takes responsibility for monitoring reporting accuracy and quality of analyses. Essential Job Functions & Responsibilities: Responsible for weekly analysis and reporting retail sales results of Lindt seasonal and non-seasonal to executive and local team members. Maintains a proactive approach to the utilization of a broad set of analytical tools, including but not limited to Retail Link, IRI, Atlas, and Shopper Research. Responsible for analyzing promotional programming and providing insights to stakeholders on performance as compared to expectations, LY, and competitive program performance. Consistently and concisely communicates insights, trends, and opportunities to key internal / external (customer) stakeholders based on sales results. Provides guidance and insights to customer teams to broaden their understanding of the shopper, consumer and retailer through reporting and ad hoc analysis. Assist internal eCommerce team in the maintaince of on-line data content for Walmart/Sam's Club Assist sales leaders with presentation development for all Line Reviews, Joint Business Planning Meetings, and Semi Annual Internal Planning Presentations. Assist in the data preparation, call implementation and follow up on all key sales calls. Provide Seasonal Sell Thru tracking data (daily at times) during each key season (Valentine's Day, Mother's Day, Easter, Halloween and Christmas). Responsible for maintaining the Atlas reporting system data integrity and development of new custom reports for use by all Walmart/Sam's Club team members. The Sales Analyst will be afforded the opportunity to build and maintain long-term relationships with the Walmart buying team through detailed analysis, insights development and recommendations. Qualifications & Requirements:  Experience:  1-2 years analytical experience with a Walmart CPG supplier and/or broker Aptitude for utilizing data, insights & resources to develop a compeling selling story Ability to multi-task several critical projects and complete requests on time  Skills & Knowledge:  Proficient computer skills; advanced knowledge of MS 360 Suite Strong analytical and reporting skills (Proficient in syndicated data). Self-directed with the ability to work in a fast-paced environment with multiple accountabilities and multiple internal customers. Must be team oriented with the ability to work on high collaboration and performance teams Excellent written and oral communication. Travel required up to 20%  Education:  S. or B.A. degree  Other Requirements:  Why Lindt? As a multi-channel, fast-growing consumer goods company, we recognize that in a competitive market, hiring the right talent makes all the difference. To create happy and loyal Lindt consumers, we need to hire and retain empowered and results-driven Lindt employees. Our teams are comprised of inspired and dedicated professionals who stretch the boundaries of a typical career experience by living our Core Values and making a difference in our business every day. To learn more about our culture and teams, visit www.Jobs.LindtUSA.com. Our Core Values: Passion For The Best - At Lindt we have pride and passion for what we do - we aspire for excellence in everything. In It Together - At Lindt we are one team with a shared purpose - we invest in our relationships and value each other. Always Evolving - At Lindt we shape our future - we take opportunities to improve, adapt to change and build on our strengths. Make An Impact - At Lindt we take responsibility for driving results - we focus on what matters to deliver on our commitments.   This job description is not exhaustive and the Company reserves the right to adjust the job description as well as ask employees to undertake additional or different job responsibilities. Lindt and Sprüngli is an equal opportunity employer and considers all qualified applicants for employment without regard to race, color, national origin, religion, sex, disability, age, veteran status, or any other classification protected by state, local or federal law. Applicants for this position must successfully pass a background screening and may be required to pass drug screenings as well. All Lindt & Sprüngli (USA) Inc. properties are smoke and tobacco free."
Adient,"Intern- Holland, MI, USA",JOB DESCRIPTION Performs assigned responsibilities as part of an internship program. Currently enrolled in an accredited 4 year undergraduate bachelors program. Holds senior level standing in a technical track. PRIMARY LOCATION Lakewood
GE Appliances,"Experienced Customer Service Expert (Work From Home Memphis, TN)","Job Location USA, Memphis, TN Job Posting Title Experienced Customer Service Expert (Work From Home Memphis, TN) The Challenge As a subsidiary of GE Appliances Advanced Services Inc. (ASI) has been striving to educate customers on the best options for appliance parts needed for repairs for 30 years. During that time we have developed a culture of celebrating and rewarding our employees, community outreach, and offering exciting promotional opportunities and career paths. As an Experienced Customer Service Expert for GE Appliance Parts, you can expect to work a shift M-F 10:30am-7pm and Saturday 7:30am-4pm. For your expertise and knowledge, we offer a base rate of $12.00 per hour in addition to high earning potential commission plan, paid weekly. We also offer a comprehensive benefits package, including medical, dental, vision, short-term & long-term disability, life insurance, tuition reimbursement and ability to earn paid time off from the first day of employment.This position is a work-from-home opportunity with a full time. What you will Do After receiving 4 weeks of training, you will: Receive incoming contacts from GE Appliance consumers needing assistance with parts and accessories for appliance repair.Establish a connection with the consumer, leveraging various tools in a fast paced organizationNavigate through various computer systems (Microsoft Office systems) and applications, using a  desktop computer to research information for appliance parts and accessories. Troubleshoot concerns regarding parts availability and back orders through interactions with parts  warehouses and other parts specialists. Ability to multitask various requests (computer, phone, supervisor, emails).Input GE Appliance parts accounts orders, using confidentiality and discretion in taking payments  from consumers. Achieve sales and productivity goals.Other duties as assigned by leadershipAdhere to safety policies and procedures to ensure a safe work environment for all What you need to Succeed High school diploma or GED  - 2 years in a customer related field (Sales experience preferred, not required)  - Proven strong attendance record; schedule adherence  - Ability to analyze data and determine appropriate transfer/processing  - Decision making using good judgement.   - Excellent communication (both verbal and written)  - Friendly, positive attitude, and willingness to help solve problems and ensure the best consumer   experience.  - Ambitious learner and self starter.  GE Appliances is an Equal Opportunity Employer. Employment decisions are made without regard to race, color, religion, national or ethnic origin, sex, sexual orientation, gender identity or expression, age, disability, protected veteran status or other characteristics protected by law."
USA Triathlon,Growth Intern,"About USA Triathlon At USA Triathlon, we believe that life is better when you swim, bike and run.  USA triathlon is the largest multisport organization in the world and the Olympic and Paralympic National Governing Body (NGB) for the sport of triathlon and all things multisport. We spend every day thinking about ways to grow and support the sport. We’re building the most innovative service organization in sports and transforming lives by inspiring participation to help communities become healthier. We also represent our country at the highest levels of international competition, striving to win medals with class and integrity.  We are defining the modern-day NGB, and innovation is our strategy. We do this by listening, collaborating and adapting our existing model. Service leadership, performance excellence, collaboration, and diversity and inclusion are central to our core values.  We are also all about going above and beyond to serve the triathlon community, and we work equally hard to serve our teammates. We are committed to being the best place to work in the U.S. Olympic & Paralympic movement by focusing on hiring, training and promoting talented, dedicated, passionate individuals who want to get better every day. We have a micro gym on-site, access to the U.S. Olympic & Paralympic Training Center and more.  Come to Colorado Springs, rated as the “most desirable place to live in the U.S. In 2018” by a U.S. News & World Report survey! Be part of the Olympic & Paralympic movement. Hone your skills and expertise while creating opportunities for triathletes to live their best lives.  We hope you are ready for a fulfilling challenge.  Position Summary The Growth Intern will assist the growth team in developing a long-term growth strategy and collaborate with the team to aid in growth. This person will collaborate with the Marketing and Communications team, Growth team and Service team to build out the strategy and help the team in implementation of the plan.   General Duties and Responsibilities  Key Constituent Growth: Be a part of the growth team in helping identify new and creative ways for growing and retaining all constituent groups, hitting growth and revenue targets Provide suggestions for responses to all constituent inquiries regarding certifications, new event sanctions, club growth and other key growth and retention areas that are approved by the Director Provide recommendations to the Service Team to make sure that all core areas of focus for growth are properly serviced and taken care of to assist in the retention efforts  Key Project: Lead the long-term growth strategy though process and build out a strategy that includes marketing and engagement plans with all parts of the project approved by the Director Assist Director in Implementation of the plan as much as possible with the assistance of the Growth, Service and Marketing & Communications teams"
ARI Shipping Corp.,Remote Sales Executive,"Sales Executive - Be Your Own Boss, Work from Anywhere, Earn Six Figures!!! Work should be fun! And with us it is! Earn extra income even if you're currently employed or have extra time! ARI Shipping Corporation is looking for experienced and energetic sales individuals with good customer service, interpersonal, and communication skills. This position requires a self-motivated individual with a hands-on approach to business and that works well alone or as part of a team. We are an international freight forwarder, what does that mean? Basically, we help people and companies ship their goods overseas. Don?t worry about the technical stuff, your job is to help us secure new clients and forge new relationships with anyone you think could be interested, and the best part? Everyone is usually interested because everyone NEEDS to ship. It doesn't matter if you're not familiar with shipping or freight forwarding, we'll teach you everything you need to know to be a successful sales executive. Work at your own time, at your own pace, and earn HIGH commissions. Qualifications:Good verbal and written communication skillsGood organizational skills  Responsibilities:Find new leads and develop interpersonal relationshipsSubmit information for quotesMake your own scheduleDevelop sales techniquesKeep track of potential client lists and updates We offer:High commissionsIncentive packagesFree trainingComplete supportTravel expenses Flexibility: Remote (part-time or full-time) Location: USA or abroad Salary: Commission-based Work Immediately Duration: As long as you want"
